feature_index,feature_name,importance
84,fft_low_mid_ratio,0.0687796447930288
63,lbp_texture_bin_6,0.04407721012106596
56,edge_std,0.03983441769071192
61,lbp_texture_bin_4,0.03585924762756852
86,fft_high_mid_ratio,0.03281045462155892
32,blue_hist_bin_0,0.03233282422917965
82,fft_mid_frequency_energy,0.03159851966632656
68,glcm_contrast_std,0.02598604863785909
50,intensity_min,0.025432566945942526
76,glcm_correlation_std,0.022373415342837308
33,blue_hist_bin_1,0.01959721847634831
65,lbp_texture_bin_8,0.018668101991250033
72,glcm_homogeneity_std,0.016314656709863012
48,intensity_mean,0.01589706208213957
70,glcm_dissimilarity_std,0.015154053154755867
31,green_hist_bin_15,0.015016455645893531
16,green_hist_bin_0,0.014578903235080836
74,glcm_energy_std,0.01446423664714702
71,glcm_homogeneity_mean,0.013884373906158584
54,intensity_75th_percentile,0.013724479289254379
75,glcm_correlation_mean,0.013241456427782463
59,lbp_texture_bin_2,0.013138457187541808
67,glcm_contrast_mean,0.012946726057695116
85,fft_high_low_ratio,0.010942050109855595
83,fft_high_frequency_energy,0.01092976136773641
15,red_hist_bin_15,0.0105182265442126
0,red_hist_bin_0,0.010360361600289008
79,fft_log_spectrum_mean,0.010163928618123557
78,glcm_ASM_std,0.00995663017701711
60,lbp_texture_bin_3,0.009490416352672587
64,lbp_texture_bin_7,0.009355177781627123
51,intensity_max,0.009308919489838426
53,intensity_median,0.009277876016843425
39,blue_hist_bin_7,0.009252123576934638
47,blue_hist_bin_15,0.00865478705623796
1,red_hist_bin_1,0.008576927566570008
52,intensity_25th_percentile,0.00850666158659721
62,lbp_texture_bin_5,0.008440190475606726
40,blue_hist_bin_8,0.008248349850490994
6,red_hist_bin_6,0.007921084418219112
38,blue_hist_bin_6,0.007679220379102627
41,blue_hist_bin_9,0.007530973666637637
73,glcm_energy_mean,0.007466389632007495
8,red_hist_bin_8,0.007408271523856376
34,blue_hist_bin_2,0.007397057702827432
81,fft_low_frequency_energy,0.0073308334245242935
58,lbp_texture_bin_1,0.0072902119755571095
17,green_hist_bin_1,0.007213591759395712
13,red_hist_bin_13,0.006987340671654103
37,blue_hist_bin_5,0.006982949719392804
7,red_hist_bin_7,0.006898608223436971
69,glcm_dissimilarity_mean,0.006806909510875176
66,lbp_texture_bin_9,0.006734119632918003
80,fft_log_spectrum_std,0.006694648395188254
55,edge_mean,0.006640483764270914
77,glcm_ASM_mean,0.006631218481010971
2,red_hist_bin_2,0.006598580167221071
14,red_hist_bin_14,0.006439230156538618
30,green_hist_bin_14,0.006428906503081232
36,blue_hist_bin_4,0.0064182196056737865
5,red_hist_bin_5,0.006343189780723291
42,blue_hist_bin_10,0.006120005579178689
3,red_hist_bin_3,0.006114378831163102
9,red_hist_bin_9,0.006061951705586741
11,red_hist_bin_11,0.006059865365463545
24,green_hist_bin_8,0.005973839042248302
49,intensity_std,0.005917071963137137
18,green_hist_bin_2,0.00576570660868031
26,green_hist_bin_10,0.005717775088869116
35,blue_hist_bin_3,0.005688958681453789
43,blue_hist_bin_11,0.00563141976894042
10,red_hist_bin_10,0.005590499963872935
4,red_hist_bin_4,0.005521804583553343
21,green_hist_bin_5,0.005506576642783724
23,green_hist_bin_7,0.005430644413285732
27,green_hist_bin_11,0.005351608091836471
22,green_hist_bin_6,0.0053405813728741106
12,red_hist_bin_12,0.0053125049845932195
25,green_hist_bin_9,0.005254395227643626
20,green_hist_bin_4,0.005131017684928157
19,green_hist_bin_3,0.004978149067020118
29,green_hist_bin_13,0.004745161334177931
28,green_hist_bin_12,0.004611412593337013
44,blue_hist_bin_12,0.004451117049454682
57,lbp_texture_bin_0,0.0043730267976805105
46,blue_hist_bin_14,0.003973500368881319
45,blue_hist_bin_13,0.0038420694375997998
